,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Tmcc3,8.18957819774845,3.74766938513979,0.753556552816572,4.9733087332757,6.58197115232341e-07,0.00161784850924109
2,Capn2,3.76280132046252,4.752654941465,0.998295297856814,4.76077063737375,1.92855125560217e-06,0.00204941993070109
3,Fam135b,8.54145832847523,3.4798875925771,0.739140110049907,4.70802158516622,2.50132619695007e-06,0.00204941993070109
4,Gm44846,2.28397584605432,5.86724035316203,1.32731888549357,4.42036982769237,9.85321258249104e-06,0.00405964294731289
5,Dkk3,2.34378091588041,5.86596460276585,1.31358559624667,4.46561276214261,7.98399066339446e-06,0.00405964294731289
6,Aars,2.33751113639241,5.85290541847459,1.33003385646229,4.40056874495098,1.0796751478029e-05,0.00405964294731289
7,Lsamp,228.459589784844,-2.18455697985533,0.498108845354858,-4.38570204128582,1.15612288979619e-05,0.00405964294731289
8,Dbt,2.3514972714494,5.45230209981393,1.28604470105545,4.23958987999349,2.23928522199551e-05,0.0065130510700469
9,Spon1,6.13289545993308,3.49663593580455,0.827520306552752,4.22543822564389,2.38476239342645e-05,0.0065130510700469
10,Taz,4.20210019400021,3.89718290581199,0.956572140558187,4.07411290855479,4.61900697879535e-05,0.011353519153879
11,Timp2,4.31661157076185,3.75979596651745,0.963945653028478,3.90042317707965,9.60246938219086e-05,0.0206661337530591
12,Hs6st3,14.7732989707326,3.14108831193931,0.807802581761945,3.88843559411274,0.000100892434921363,0.0206661337530591
13,Arsb,5.48507735140545,3.68177781287482,0.960285267891235,3.83404591945883,0.000126052594159734,0.0238336366495866
14,Adgrb3,42.9980893522472,1.61797431426744,0.43497994294784,3.71965268858721,0.000199496915997468,0.032690894634785
15,Nob1,2.54210856871691,4.54206249773855,1.2179756944301,3.72918976832606,0.00019209644761025,0.032690894634785
16,Gm49678,2.52599936386589,4.55111187769464,1.25357698383534,3.63050050884824,0.000282872147040302,0.0434562335890665
17,Epb41l4a,2.63126918115435,4.33242799535808,1.19913920274384,3.61294834281518,0.000302735032009099,0.0437719240399038
18,Gm45652,2.49863292676959,4.56810762715302,1.28541482632949,3.55380032467596,0.000379707384360129,0.0466660375378598
19,Inpp4b,69.1779139034511,-5.22011721358029,1.45772784103702,-3.58099575697665,0.000342287213503301,0.0466660375378598
20,Donson,2.57817663146915,4.34651502046185,1.22069459880195,3.56068997497633,0.000369881592248301,0.0466660375378598
21,St6galnac5,2.63112372687338,4.26871674364184,1.20642315117297,3.53832462473179,0.000402674672213681,0.0467063501754435
22,Cdc40,2.63465995458703,4.26066262749475,1.20752503336156,3.528425920607,0.000418038935663042,0.0467063501754435
23,Tdrkh,2.6534045456952,4.22449427731405,1.22303698838722,3.45410181165883,0.000552128893162318,0.0590057747562165
24,March1,18.2682068793836,2.00879987003476,0.592728576051074,3.38907208324247,0.000701295724355355,0.071824370436061
25,Ndst3,2.816644823762,3.92513481005731,1.19394926634971,3.28752227643452,0.00101073192271647,0.0993751626414833
